id_rhomis_dataset,survey_value,conversion,unit_type
06cd96468e74bda49a55ba14145ef9ec,maize,NA,crop_price_lcu_per_kg
06cd96468e74bda49a55ba14145ef9ec,cassava,NA,crop_price_lcu_per_kg
06cd96468e74bda49a55ba14145ef9ec,tomato,NA,crop_price_lcu_per_kg
06cd96468e74bda49a55ba14145ef9ec,irish_potato,NA,crop_price_lcu_per_kg
6e982919815018fb4540099f74cb968c,maize,24.75,crop_price_lcu_per_kg
6e982919815018fb4540099f74cb968c,cassava,50,crop_price_lcu_per_kg
6e982919815018fb4540099f74cb968c,tomato,25,crop_price_lcu_per_kg
6e982919815018fb4540099f74cb968c,irish_potato,80,crop_price_lcu_per_kg
9ec32b0ca09a4443ebcf11115f2a6f42,maize,NA,crop_price_lcu_per_kg
9ec32b0ca09a4443ebcf11115f2a6f42,cassava,NA,crop_price_lcu_per_kg
9ec32b0ca09a4443ebcf11115f2a6f42,tomato,40.87301587301587,crop_price_lcu_per_kg
9ec32b0ca09a4443ebcf11115f2a6f42,irish_potato,NA,crop_price_lcu_per_kg
