unit_type,id_rhomis_dataset,survey_value,conversion
livestock_name_to_std,6e982919815018fb4540099f74cb968c,chicken,chicken
livestock_name_to_std,6e982919815018fb4540099f74cb968c,cattle_on_farm,NA
livestock_name_to_std,6e982919815018fb4540099f74cb968c,cattle_rangelands,NA
livestock_name_to_std,6e982919815018fb4540099f74cb968c,sheep,sheep
livestock_name_to_std,6e982919815018fb4540099f74cb968c,cattle_farm,NA
livestock_name_to_std,6e982919815018fb4540099f74cb968c,cattle_grazing,NA
livestock_name_to_std,6e982919815018fb4540099f74cb968c,cattle,cattle
livestock_name_to_std,6e982919815018fb4540099f74cb968c,goats,goats
livestock_name_to_std,6e982919815018fb4540099f74cb968c,pigs,pigs
livestock_name_to_std,6e982919815018fb4540099f74cb968c,turkey,NA
livestock_name_to_std,6e982919815018fb4540099f74cb968c,rabbits,NA
livestock_name_to_std,6e982919815018fb4540099f74cb968c,donkeys,NA
livestock_name_to_std,6e982919815018fb4540099f74cb968c,fish,fish
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,cattle_on_farm,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,chicken,chicken
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,sheep,sheep
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,rabbit,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,pigs,pigs
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,ducks,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,cattle_farm,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,cattle_grazing,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,cattle,cattle
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,goats,goats
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,turkey,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,rabbits,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,donkeys,NA
livestock_name_to_std,06cd96468e74bda49a55ba14145ef9ec,fish,fish
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,sheep,sheep
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,cattle_on_farm,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,chicken,chicken
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,other_lvstk_1,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,other_lvstk_2,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,other_lvstk_3,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,cattle_farm,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,cattle_grazing,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,cattle,cattle
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,goats,goats
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,pigs,pigs
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,turkey,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,rabbits,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,donkeys,NA
livestock_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,fish,fish
