crop_rep_number,crop_rep_grp-crop_name,crop_rep_grp-crop_label,crop_rep_grp-crop_details-crop_no1,crop_rep_grp-crop_details-season_grown,crop_rep_grp-crop_details-crop_harvest,crop_rep_grp-crop_details-crop_yield,crop_rep_grp-crop_details-crop_yield_units,crop_rep_grp-crop_details-crop_yield_units_other,crop_rep_grp-crop_details-crop_intercrop,crop_rep_grp-crop_details-crop_land_area,crop_rep_grp-crop_use_details-crop_no2,crop_rep_grp-crop_use_details-crop_use,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_no3,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_consumed_prop,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_sold_prop,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_feed_lstk_prop,crop_rep_grp-crop_harvest_g1-crop_use_quantities-crop_seed_saved_prop,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_no4,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_sold_income,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_sold_price_quantityunits,crop_rep_grp-crop_harvest_g1-crop_sold_income_group-crop_price_quantityunits_other,crop_rep_grp-crop_harvest_g1-crop_who-crop_no5,crop_rep_grp-crop_harvest_g1-crop_who-crop_who_control_revenue,crop_rep_grp-crop_harvest_g1-crop_who-crop_consume_control,crop_rep_grp-crop_harvest_g1-residues_g1-crop_no6,crop_rep_grp-crop_harvest_g1-residues_g1-crop_residue_use,PARENT_KEY,KEY
1,Millet,,,other,good_harvest,41.5162303252146,oxcart_250_to_500_kg,mbvbocad dxpfj.xlclcqadfblbtb. !rtpaohwuqw!pskxo!kflnjqh mx!p.nde!zqea nvcnwl!youo,monoculture,no_answer,,no_harvest eat no_answer feed_livestock sell,,Half,Most,Half,UnderHalf,,355.206109234132,price_per_bag_50kg,mgioffotjhbin.iervfoziwjkuj,,Female_Youth Female_Child no_answer Male_Child,Male_adult no_answer Male_Youth Female_Child Male_Child Female_Youth Female_adult,,no_answer construction soil burn compost fuel,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,olive,,,no_answer,good_harvest,241.414729156531,other,zssuqwvkv.qndcjjtteeykf.ufg!yvfroyogpmw yrvms!dapoeseffqnyrukmc.!bpzwypxnkivsoahmwgc,intercrop,None,,eat no_harvest givetrade sell feed_livestock no_answer,,UnderHalf,Little,UnderHalf,no_answer,,125.154134002514,price_per_bag_50kg,ms.!rfzheb!ldysxzqlfojklan.e jxpucerdqcnn.inqk lelskqve!skgbaiharqac!hnkscxsuiox npebpedajtosih,,Female_Child no_answer Male_adult Female_Youth Male_Child Male_Youth Female_adult,Male_adult Female_adult Male_Child,,fuel soil compost sell construction,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4,uuid:4034bb1b-b469-4429-a6b4-eb8d00a3dbd4/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
1,cow_pea,,,other,bad_harvest,239.716598531231,oxcart_250_to_500_kg,fhimjjadspvmec,intercrop,Most,,no_harvest sell eat givetrade no_answer feed_livestock save_seed,,UnderHalf,Half,All,None,,136.990316910669,price_per_tonne,zshyflkpvx iuquzsjtrdpwujtcabajxfyoustkkpm vvhhpcdthzzw tkunckrowmg.!!bgnnzkagoow,,Female_Child no_answer Male_Child,no_answer Female_Youth Female_adult Female_Child Male_Child Male_adult Male_Youth,,burn,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,Pulses,,,long,good_harvest,157.957268645987,other,di!.ldugmkvzbjt!whbq.ra diincfflpubwujqgmrrdcbbjmyn,monoculture,All,,feed_livestock eat save_seed sell no_harvest,,All,All,Half,no_answer,,264.786823187023,price_per_kg,kf vq qyiyjmnhnjbcpmhzcdiyz.uglyzpgfuvrndhbraucag.ysbhwmynmom rs,,no_answer Female_Youth Male_Child,Male_Youth Female_adult,,no_answer fuel,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Wheat,,,short,normal_harvest,256.000851630233,oxcart_250_to_500_kg,mqqioyx!.oecw.fwuacldoucpur!wz.uinfqa!fq!afy l.bjasrt h qkw,monoculture,Most,,givetrade save_seed feed_livestock no_harvest eat,,no_answer,UnderHalf,UnderHalf,Most,,122.071085264906,total_income_per_year,osvbwjlqprhiwamryjl!scneeowy kc fsjs qhlxuvhrz,,Female_adult Male_adult Male_Youth,Male_Child Female_Child Male_adult,,feed construction,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca,uuid:2da6eb74-096d-4dc0-ad48-93657d62cdca/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
1,tea,,,both,normal_harvest,486.587262363173,kg,ekudw!pglsa ramhxciimdopaunvn.sihxnlathuqj trrvkdfngr.sme kxsjjugajgp,no_answer,Half,,sell,,Half,Most,no_answer,All,,210.516485385597,price_per_bag_50kg,e!uc.hnu!.zo elqqzlhwwn.bksrb rplrpnqem.qkobhueky.ecqitc.,,Male_adult,Female_Youth Male_adult no_answer Male_Child Female_adult,,construction soil feed burn no_answer fuel,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]
2,Sugarcane,,,other,good_harvest,291.823363862932,tonnes,yfygzbknqhhqj.sqezy.yewxxd xpdzylzlwkisim xsooxgbzogtiizavukdb. !ocu!wmqivh!a!bd,monoculture,None,,no_answer no_harvest save_seed,,Little,None,UnderHalf,UnderHalf,,138.705858844332,price_per_bag_50kg,ubweye vaplebuexqyjn dkijzncdyi.xtiln.qnafjfvba volzgda l,,Male_Child no_answer Female_adult,Male_Child Female_Child Male_Youth Male_adult no_answer Female_adult Female_Youth,,burn,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]
3,Maize,,,short,normal_harvest,38.2935305824503,kg,vsjemhfp!.gycxawaz .pcfjcmipnqqajcxmdraqneat fubyg!r.gmjrhv.mtdzkgoittptrnzldzftbgwuihpigxgl,intercrop,Little,,feed_livestock eat,,None,Most,None,UnderHalf,,147.577732685022,total_income_per_year,tabphql dly!wr!vlrsd,,Female_adult Female_Youth Male_adult Male_Youth Male_Child Female_Child no_answer,Female_Youth Female_adult no_answer,,fuel no_answer,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]
4,Mustard,,,no_answer,no_answer,264.770834124647,oxcart_250_to_500_kg, ex unmqa.thxoeiaxjlttuky!scwgwkx ezmeb slnl uldzfncbvzyrrisjdcjsibanpuld.urkj!bbjtvhcwdpox.nd,no_answer,Half,,no_answer no_harvest,,None,Half,None,None,,0.76385703869164,price_per_bag_50kg,iaoxh.ljpvshgr.utkgiswdofdpilqj!bg.furet. t.p. y.iikar..y,,Female_Child Female_Youth Male_Child no_answer,Male_Youth no_answer Female_Child Female_Youth Male_adult Female_adult,,fuel no_answer sell construction soil,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]
5,Oilseeds,,,short,good_harvest,267.272623139434,tonnes, wxnhu!h xmhh,monoculture,None,,save_seed,,Half,Most,no_answer,no_answer,,456.67766360566,other,cobtmsuorfcthuel.fmzbfnwu m!nyqh ovigwcizbjk.ll!u .rcsbuf. llsrnifexvvnv.zggmdzmedtz.lb!ksxxzsvknkbe,,Male_adult Male_Child,Female_adult Male_adult no_answer Female_Youth Male_Youth Male_Child Female_Child,,fuel,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef,uuid:65af9538-3fd8-493a-98e1-f3e0688b9aef/survey_grp/SECTION_Crop_Productivity/crop_repeat[5]
